告,告,gào,ㄍㄠˋ,to tell,audio/ㄍㄠˋ.wav
哥,哥,gē,ㄍㄜ,elder brother,audio/ㄍㄜ.wav
歌,歌,gē,ㄍㄜ,song,audio/ㄍㄜ.wav
个,個,gè,ㄍㄜˋ,individual,audio/ㄍㄜˋ.wav
给,給,gěi,ㄍㄟˇ,to give,audio/ㄍㄟˇ.wav
跟,跟,gēn,ㄍㄣ,to follow,audio/ㄍㄣ.wav
工,工,gōng,ㄍㄨㄥ,work/profession,audio/ㄍㄨㄥ.wav
关,關,guān,ㄍㄨㄢ,to shut/to close,audio/ㄍㄨㄢ.wav
馆,館,guǎn,ㄍㄨㄢˇ,house/establishment,audio/ㄍㄨㄢˇ.wav
贵,貴,guì,ㄍㄨㄟˋ,expensive/noble,audio/ㄍㄨㄟˋ.wav
国,國,guó,ㄍㄨㄛˊ,country,audio/ㄍㄨㄛˊ.wav
果,果,guǒ,ㄍㄨㄛˇ,fruit/result,audio/ㄍㄨㄛˇ.wav
过,過,guò,ㄍㄨㄛˋ,to cross/to go over,audio/ㄍㄨㄛˋ.wav
孩,孩,hái,ㄏㄞˊ,child,audio/ㄏㄞˊ.wav
还,還,hái,ㄏㄞˊ,also,audio/ㄏㄞˊ.wav
汉,漢,hàn,ㄏㄢˋ,Chinese,audio/ㄏㄢˋ.wav
好,好,hǎo,ㄏㄠˇ,good,audio/ㄏㄠˇ.wav
号,號,hào,ㄏㄠˋ,ordinal number,audio/ㄏㄠˋ.wav
喝,喝,hē,ㄏㄜ,to drink,audio/ㄏㄜ.wav
和,和,hé,ㄏㄜˊ,and,audio/ㄏㄜˊ.wav
很,很,hěn,ㄏㄣˇ,very,audio/ㄏㄣˇ.wav
后,後,hòu,ㄏㄡˋ,empress/queen,audio/ㄏㄡˋ.wav
候,候,hòu,ㄏㄡˋ,wait,audio/ㄏㄡˋ.wav
花,花,huā,ㄏㄨㄚ,flower,audio/ㄏㄨㄚ.wav
话,話,huà,ㄏㄨㄚˋ,speech,audio/ㄏㄨㄚˋ.wav
